time,10H,12H,14H,16H,max
2013-07-13,1.31308034845e-05,1.74584029936e-05,1.05401703968e-05,4.14656222849e-06,1.74584029936e-05
2013-07-14,4.90744453386e-06,5.68930612852e-06,7.10608452049e-06,3.72257529488e-06,7.10608452049e-06
2013-07-15,6.51515047284e-06,3.27511780931e-06,1.4544854326e-06,1.39619504906e-06,6.51515047284e-06
2013-07-16,8.68507823425e-06,1.04079229734e-05,1.3853447117e-05,6.51204153227e-06,1.3853447117e-05
2013-07-17,1.22472370535e-05,1.16644866387e-05,5.37059241634e-06,1.66679710028e-06,1.89112088118e-05
2013-07-18,1.51431915259e-05,,,,1.52882597888e-05
2013-07-19,,,,,
2013-07-20,,,,,
2013-07-21,,,,,
2013-07-22,,,,,
2013-07-23,,,,,
2013-07-24,,,,,
2013-07-25,,,,,
2013-07-26,,,,,
2013-07-27,,,,,
2013-07-28,,,,,
2013-07-29,,,,,
2013-07-30,,,,,
2013-07-31,,,,,
2013-08-01,,,,,
2013-08-02,,,,,
2013-08-03,,,,,
2013-08-04,,,,,
2013-08-05,,,,,
2013-08-06,2.05569771493e-05,2.66518237428e-05,1.85573670393e-05,6.42098751839e-06,2.66518237428e-05
2013-08-07,1.78858024708e-05,2.89990168379e-05,1.8731564771e-05,5.06893607969e-06,2.89990168379e-05
2013-08-08,2.04101241266e-05,2.81295326846e-05,1.32639848097e-05,1.45522472541e-06,2.81295326846e-05
2013-08-09,1.88366199311e-05,2.4251885953e-05,1.78024028407e-05,5.62132923982e-06,2.4251885953e-05
2013-08-10,1.21497183915e-05,1.77644064914e-05,1.48169695681e-05,3.96458772304e-06,1.81023728733e-05
2013-08-11,1.36693727304e-05,2.06771087875e-05,1.68470336313e-05,4.74589932998e-06,2.11303037516e-05
2013-08-12,1.3357852722e-05,2.18337835911e-05,1.32262310738e-05,5.14557643755e-06,2.18337835911e-05
2013-08-13,9.39651168782e-06,1.03355497785e-05,3.14832541112e-06,1.92192859144e-06,1.03355497785e-05
2013-08-14,8.55927159189e-06,6.89486454142e-06,4.03461622358e-06,9.05660542492e-07,1.36880856714e-05
2013-08-15,1.60966016926e-06,1.14049174601e-06,2.12034019917e-06,2.03302938312e-06,2.72139512809e-06
2013-08-16,1.39008711647e-07,1.99182753146e-06,7.12785858857e-06,4.77772567634e-06,7.60323350155e-06
2013-08-17,5.192741521e-06,9.13026074913e-06,6.35570802125e-06,2.28366351432e-06,9.13026074913e-06
2013-08-18,4.63697975591e-06,1.50513533082e-06,1.88414357125e-06,2.05881861715e-06,4.63697975591e-06
2013-08-19,1.28117845696e-05,2.63982130475e-05,6.26561187533e-06,1.02503982786e-06,2.63982130475e-05
2013-08-20,1.18060377718e-05,1.56462678283e-05,2.27251119269e-06,3.68360084898e-06,1.67266530731e-05
2013-08-21,1.27701326029e-05,1.95182305533e-05,1.12604972082e-05,3.4741044785e-06,1.95182305533e-05
2013-08-22,4.57707930561e-06,8.01463577505e-06,4.7693386977e-06,2.40001772516e-06,1.10466057268e-05
2013-08-23,5.1533437746e-06,1.37956111434e-05,8.59350200714e-06,3.57994804155e-06,1.37956111434e-05
2013-08-24,6.65429241583e-06,5.26191144632e-07,3.00766667769e-06,2.44658133774e-06,6.65429241583e-06
2013-08-25,1.57143732538e-05,1.05067738764e-05,2.54857729089e-06,3.12467117354e-06,2.12275895492e-05
2013-08-26,1.49261227338e-05,2.24365283079e-05,1.30779472842e-05,3.71205361969e-06,2.24365283079e-05
2013-08-27,1.5436783429e-05,1.93553049103e-05,1.18050536921e-05,4.30271329961e-06,2.10698139088e-05
2013-08-28,1.42474186707e-05,2.24848109768e-05,1.28894589981e-05,4.12975369172e-06,2.24848109768e-05
2013-08-29,1.315414267e-05,1.16424965088e-05,8.76537135012e-06,3.56679887851e-06,1.31774883465e-05
2013-08-30,6.2459003227e-06,8.15646094096e-06,1.38009276475e-06,6.01719625842e-07,1.63818527031e-05
2013-08-31,1.027650034e-05,1.43452816256e-05,3.22684886366e-06,1.1824499788e-06,1.7934985487e-05
2013-09-01,7.71359039895e-06,1.04314025413e-05,1.08297189156e-05,1.63704759182e-06,1.08297189156e-05
2013-09-02,1.4122976514e-05,1.60882501684e-05,8.07117089447e-06,3.28737487618e-06,1.60882501684e-05
2013-09-03,5.43655652159e-06,4.90630318039e-06,3.99980418299e-06,6.57831409757e-07,1.27484898408e-05
2013-09-04,2.49214727391e-06,3.46123932713e-06,8.2773534446e-06,1.51737636434e-06,9.01709436476e-06
2013-09-05,8.35086687959e-06,9.73503457354e-06,9.48755684785e-06,3.69575712105e-06,9.73503457354e-06
2013-09-06,1.09742808145e-05,1.98658578977e-05,1.34627539344e-05,3.50416449069e-06,2.01989845282e-05
2013-09-07,7.86825281737e-06,1.59222413332e-05,9.80716600681e-06,2.09521781543e-06,1.59222413332e-05
2013-09-08,9.88201487994e-06,1.76426814921e-05,1.23314971896e-05,3.35152591163e-06,1.76426814921e-05
2013-09-09,1.24528742981e-05,1.48162587939e-05,8.13467081962e-06,3.14730027655e-06,1.48162587939e-05
2013-09-10,1.31381059369e-05,1.79482199528e-05,1.08908031893e-05,2.89833189786e-06,1.79482199528e-05
2013-09-11,1.20788576584e-05,1.88677347644e-05,1.22115952596e-05,2.66821094612e-06,1.88677347644e-05
2013-09-12,1.03001432238e-05,1.58100420217e-05,1.16908089407e-05,2.51615443424e-06,1.68082933146e-05
2013-09-13,1.09681172903e-05,1.45078023669e-05,1.02586070974e-05,1.79121644355e-06,1.75992138171e-05
2013-09-14,1.60887158192e-05,1.55521988208e-05,1.2040739746e-05,2.84645320378e-06,1.92754375957e-05
2013-09-15,1.25315499789e-05,1.83247287992e-05,1.15329699089e-05,2.31305981258e-06,1.83247287992e-05
2013-09-16,1.45500532568e-05,1.82674015641e-05,1.23239878928e-05,2.88939703382e-06,1.82674015641e-05
2013-09-17,1.37591948191e-05,1.99204655706e-05,1.17234379271e-05,2.85545000936e-06,1.99204655706e-05
2013-09-18,1.44814546146e-05,1.90353195298e-05,1.31762889484e-05,2.59828860551e-06,1.90353195298e-05
2013-09-19,1.46256615228e-05,2.14297054628e-05,7.46875853128e-06,2.35275765553e-06,2.14297054628e-05
2013-09-20,1.5949814234e-05,1.97600103934e-05,1.02282901922e-05,3.33374060541e-06,2.07709453325e-05
2013-09-21,1.65842886267e-05,2.36209804493e-05,1.54622517977e-05,3.53048902521e-06,2.36209804493e-05
2013-09-22,7.70138235912e-06,1.18658431681e-05,6.25072636475e-06,1.16659473426e-06,1.18658431681e-05
2013-09-23,7.85050584777e-06,1.67209334291e-05,5.98299433024e-06,1.54465002447e-06,1.67209334291e-05
2013-09-24,9.38388002198e-06,2.22670431455e-05,1.05051980782e-05,2.82058110903e-06,2.22670431455e-05
2013-09-25,1.01645748379e-05,1.16375120387e-05,9.07372016413e-06,2.26690203455e-06,1.43591261702e-05
2013-09-26,1.53308348635e-05,2.25590152849e-05,1.34752646654e-05,2.83690304796e-06,2.25590152849e-05
2013-09-27,1.50941524188e-05,2.11940186474e-05,1.28668008259e-05,2.7444569926e-06,2.11940186474e-05
2013-09-28,1.0708118189e-05,1.56308872102e-05,9.27011053816e-06,1.72960563371e-06,1.58651166408e-05
2013-09-29,5.66151093414e-06,1.32874693878e-05,3.96358497853e-06,1.12822386846e-06,1.32874693878e-05
2013-09-30,1.79329850047e-06,4.63375238334e-06,4.83114839592e-06,6.37678689791e-07,5.31854277589e-06
